SECTION,STATION,LAT,LONG,LONG
SOUTHEAST GRAND BANK,SEGB-01,46.58,52.93,-52.93
SOUTHEAST GRAND BANK,SEGB-02,46.50,52.85,-52.85
SOUTHEAST GRAND BANK,SEGB-03,46.35,52.73,-52.73
SOUTHEAST GRAND BANK,SEGB-04,46.21,52.61,-52.61
SOUTHEAST GRAND BANK,SEGB-05,46.07,52.50,-52.50
SOUTHEAST GRAND BANK,SEGB-06,45.79,52.27,-52.27
SOUTHEAST GRAND BANK,SEGB-07,45.46,52.00,-52.00
SOUTHEAST GRAND BANK,SEGB-08,45.10,51.70,-51.70
SOUTHEAST GRAND BANK,SEGB-09,44.73,51.40,-51.40
SOUTHEAST GRAND BANK,SEGB-10,44.36,51.10,-51.10
SOUTHEAST GRAND BANK,SEGB-11,44.00,50.81,-50.81
SOUTHEAST GRAND BANK,SEGB-12,43.63,50.52,-50.52
SOUTHEAST GRAND BANK,SEGB-13,43.20,50.17,-50.17
SOUTHEAST GRAND BANK,SEGB-14,42.92,49.94,-49.94
SOUTHEAST GRAND BANK,SEGB-15,42.85,49.89,-49.89
SOUTHEAST GRAND BANK,SEGB-16,42.78,49.83,-49.83
SOUTHEAST GRAND BANK,SEGB-17,42.59,49.68,-49.68
SOUTHEAST GRAND BANK,SEGB-18,42.40,49.52,-49.52
SOUTHEAST GRAND BANK,SEGB-19,42.08,49.27,-49.27
SOUTHEAST GRAND BANK,SEGB-20,41.70,48.95,-48.95
SOUTHEAST GRAND BANK,SEGB-21,41.33,48.67,-48.67
,,,,
FLEMISH CAP,FC-01,47.00,52.83,-52.83
FLEMISH CAP,FC-02,47.00,52.71,-52.71
FLEMISH CAP,FC-03,47.00,52.58,-52.58
FLEMISH CAP,FC-04,47.00,52.32,-52.32
FLEMISH CAP,FC-05,47.00,52.03,-52.03
FLEMISH CAP,FC-06,47.00,51.49,-51.49
FLEMISH CAP,FC-07,47.00,51.00,-51.00
FLEMISH CAP,FC-08,47.00,50.67,-50.67
FLEMISH CAP,FC-09,47.00,50.00,-50.00
FLEMISH CAP,FC-10,47.00,49.12,-49.12
FLEMISH CAP,FC-11,47.00,48.62,-48.62
FLEMISH CAP,FC-12,47.00,48.12,-48.12
FLEMISH CAP,FC-13,47.00,47.82,-47.82
FLEMISH CAP,FC-14,47.00,47.50,-47.50
FLEMISH CAP,FC-15,47.00,47.25,-47.25
FLEMISH CAP,FC-16,47.00,47.17,-47.17
FLEMISH CAP,FC-17,47.00,47.02,-47.02
FLEMISH CAP,FC-18,47.00,46.83,-46.83
FLEMISH CAP,FC-19,47.00,46.67,-46.67
FLEMISH CAP,FC-20,47.00,46.48,-46.48
FLEMISH CAP,FC-21,47.00,46.02,-46.02
FLEMISH CAP,FC-22,47.00,45.73,-45.73
FLEMISH CAP,FC-23,47.00,45.50,-45.50
FLEMISH CAP,FC-24,47.00,45.21,-45.21
FLEMISH CAP,FC-25,47.00,44.99,-44.99
FLEMISH CAP,FC-26,47.00,44.77,-44.77
FLEMISH CAP,FC-27,47.00,44.58,-44.58
FLEMISH CAP,FC-28,47.00,44.43,-44.43
FLEMISH CAP,FC-29,47.00,44.23,-44.23
FLEMISH CAP,FC-30,47.00,44.08,-44.08
FLEMISH CAP,FC-31,47.00,43.83,-43.83
FLEMISH CAP,FC-32,47.00,43.75,-43.75
FLEMISH CAP,FC-33,47.00,43.40,-43.40
FLEMISH CAP,FC-34,47.00,43.25,-43.25
FLEMISH CAP,FC-35,47.00,43.00,-43.00
FLEMISH CAP,FC-36,47.00,42.75,-42.75
FLEMISH CAP,FC-37,47.00,42.50,-42.50
FLEMISH CAP,FC-38,47.00,42.00,-42.00
,,,,
BONAVISTA,BB-01,48.73,52.97,-52.97
BONAVISTA,BB-02,48.80,52.75,-52.75
BONAVISTA,BB-03,48.83,52.65,-52.65
BONAVISTA,BB-04,48.92,52.40,-52.40
BONAVISTA,BB-05,49.03,52.07,-52.07
BONAVISTA,BB-06,49.10,51.83,-51.83
BONAVISTA,BB-07,49.19,51.54,-51.54
BONAVISTA,BB-08,49.28,51.28,-51.28
BONAVISTA,BB-09,49.37,51.02,-51.02
BONAVISTA,BB-10,49.52,50.53,-50.53
BONAVISTA,BB-11,49.69,50.02,-50.02
BONAVISTA,BB-12,49.85,49.50,-49.50
BONAVISTA,BB-13,50.00,49.00,-49.00
BONAVISTA,BB-14,50.18,48.47,-48.47
BONAVISTA,BB-15,50.33,47.95,-47.95
,,,,
WHITE BAY,WB-01,50.23,56.45,-56.45
WHITE BAY,WB-02,50.30,56.18,-56.18
WHITE BAY,WB-03,50.45,55.62,-55.62
WHITE BAY,WB-04,50.67,55.00,-55.00
WHITE BAY,WB-05,50.80,54.50,-54.50
WHITE BAY,WB-06,50.85,54.33,-54.33
WHITE BAY,WB-07,50.95,54.00,-54.00
WHITE BAY,WB-08,51.08,53.50,-53.50
WHITE BAY,WB-09,51.23,53.00,-53.00
WHITE BAY,WB-10,51.30,52.72,-52.72
WHITE BAY,WB-11,51.37,52.48,-52.48
WHITE BAY,WB-12,51.50,52.00,-52.00
WHITE BAY,WB-13,51.65,51.50,-51.50
WHITE BAY,WB-14,51.79,50.99,-50.99
WHITE BAY,WB-15,51.87,50.71,-50.71
WHITE BAY,WB-16,51.90,50.60,-50.60
WHITE BAY,WB-17,51.93,50.47,-50.47
WHITE BAY,WB-18,51.99,50.25,-50.25
WHITE BAY,WB-19,52.12,49.75,-49.75
WHITE BAY,WB-20,52.26,49.25,-49.25
,,,,
SEAL ISLAND,SI-01,53.23,55.65,-55.65
SEAL ISLAND,SI-02,53.33,55.50,-55.50
SEAL ISLAND,SI-03,53.41,55.36,-55.36
SEAL ISLAND,SI-04,53.53,55.15,-55.15
SEAL ISLAND,SI-05,53.62,55.00,-55.00
SEAL ISLAND,SI-06,53.76,54.78,-54.78
SEAL ISLAND,SI-07,53.92,54.50,-54.50
SEAL ISLAND,SI-08,54.08,54.22,-54.22
SEAL ISLAND,SI-09,54.20,54.00,-54.00
SEAL ISLAND,SI-10,54.36,53.73,-53.73
SEAL ISLAND,SI-11,54.50,53.50,-53.50
SEAL ISLAND,SI-12,54.63,53.25,-53.25
SEAL ISLAND,SI-13,54.78,53.00,-53.00
SEAL ISLAND,SI-14,55.07,52.50,-52.50
,,,,
MAKKOVIK BANK,MB-01,55.22,58.51,-58.51
MAKKOVIK BANK,MB-02,55.25,58.44,-58.44
MAKKOVIK BANK,MB-03,55.31,58.29,-58.29
MAKKOVIK BANK,MB-04,55.37,58.15,-58.15
MAKKOVIK BANK,MB-05,55.48,57.91,-57.91
MAKKOVIK BANK,MB-06,55.58,57.68,-57.68
MAKKOVIK BANK,MB-07,55.68,57.44,-57.44
MAKKOVIK BANK,MB-08,55.75,57.28,-57.28
MAKKOVIK BANK,MB-09,55.77,57.22,-57.22
MAKKOVIK BANK,MB-10,55.87,56.98,-56.98
MAKKOVIK BANK,MB-11,55.98,56.74,-56.74
MAKKOVIK BANK,MB-12,56.08,56.51,-56.51
,,,,
BEACH ISLAND,BI-01,57.06,61.31,-61.31
BEACH ISLAND,BI-02,57.12,61.10,-61.10
BEACH ISLAND,BI-03,57.25,60.68,-60.68
