,STATION,LAT,LON,distance_km
0,SEGB-01,46.583,-52.933,0.0
1,SEGB-02,46.5,-52.85,11.2
2,SEGB-03,46.35,-52.733,30.1
3,SEGB-04,46.208,-52.608,48.5
4,SEGB-05,46.07,-52.5,66.0
5,SEGB-06,45.788,-52.267,102.1
6,SEGB-07,45.458,-52.0,144.3
7,SEGB-08,45.095,-51.7,190.9
8,SEGB-09,44.725,-51.395,238.5
9,SEGB-10,44.363,-51.103,284.9
10,SEGB-11,44.0,-50.808,331.6
11,SEGB-12,43.633,-50.517,378.6
12,SEGB-13,43.2,-50.167,434.4
13,SEGB-14,42.92,-49.942,470.5
14,SEGB-15,42.85,-49.887,479.4
15,SEGB-16,42.775,-49.828,489.0
16,SEGB-17,42.588,-49.683,513.0
17,SEGB-18,42.395,-49.518,538.3
18,SEGB-19,42.077,-49.27,579.1
19,SEGB-20,41.7,-48.95,628.5
20,SEGB-21,41.333,-48.667,675.6
