,STATION,LAT,LON,distance_km
0,WB-01,50.227,-56.453,0.0
1,WB-02,50.3,-56.182,20.9
2,WB-03,50.45,-55.617,64.3
3,WB-04,50.667,-55.0,113.9
4,WB-05,50.8,-54.5,152.0
5,WB-06,50.852,-54.33,165.2
6,WB-07,50.945,-54.0,190.6
7,WB-08,51.083,-53.5,228.7
8,WB-09,51.225,-53.0,267.0
9,WB-10,51.298,-52.723,287.9
10,WB-11,51.367,-52.483,306.2
11,WB-12,51.5,-52.0,342.8
12,WB-13,51.647,-51.5,381.0
13,WB-14,51.788,-50.992,419.3
14,WB-15,51.867,-50.707,440.7
15,WB-16,51.895,-50.6,448.7
16,WB-17,51.933,-50.467,458.7
17,WB-18,51.993,-50.25,475.0
18,WB-19,52.117,-49.75,511.8
19,WB-20,52.258,-49.25,549.3
